match_url,match_name,club_name
https://practiscore.com/results/all/7ab5f726-bc21-4b6d-a802-8e5f6baf7a9f,Wallis Orchard July 2026 USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/0aedb90b-acb4-497a-a324-c1c8c6f0633a,Wallis Orchard MAY 2026 SUNDAY USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/e4b66a26-dc4c-4a3a-800a-27a78262e40f,Wallis Orchard MAY 2026 PCSL 2 gun,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/3720c029-ae16-4db5-ae3c-8fe6bb8e4d2c,Wallis Orchard APRIL 2026 SUNDAY USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/f224c17c-af9e-4fb6-97de-41d5e2c96104,Wallis Orchard MAR 2026 USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/bae60bea-380b-405e-850f-3fb2451fee77,Wallis Orchard Mar 2026 PCSL 2 gun,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/7e63d234-d349-4771-b1ae-7f74ebaa5bc9,Wallis Orchard Feb 2026 PCSL 2 gun match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/985c2d00-368a-47c8-8129-9d6c45fdf6eb,Wallis Orchard Jan 2026USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/6fbb5557-e600-4bfb-bdd7-124395c7dc5d,Wallis Orchard Jan 2026 PCSL 2 gun match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/8a2e8a4e-e046-4d4e-8a66-18e78e7f1a81,Wallis Orchard DEC USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/8a444520-c53d-4846-8f7c-b25347c62f73,Wallis Orchard OCT SUNDAY INAGURAL PCSL 2 gun match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/3227ff5e-e74d-4675-82fa-da508d153906,Wallis Orchard OCT SATURDAY PCSL 1 gun only Pistol/PCC match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/9fbd38d6-6db0-4fdc-a841-5c28c9641f5d,Wallis Orchard Aug USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/f13d14f8-b354-4c97-95f5-7d90b3ba06f0,Wallis Orchard July USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/d55ecd57-d182-4894-8267-ebecbc8e956e,Wallis Orchard June USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/9ca86794-2b48-4cb6-8577-eee384edbcdb,Wallis Orchard MAY PCSL 1 gun only RIFLE/PCC match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/daa7652c-b965-4807-add2-cd6e85e3e79c,Wallis Orchard APRIL USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/491868c2-7596-4fda-bf7a-a24ff5777e45,Wallis Orchard MAR USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/c6d15417-c9d9-4be6-9781-48c28c5beb12,Wallis Orchard MAR PCSL 1 gun only RIFLE/PCC match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/c24926d5-453e-4eab-a7a9-0a2a3f47f938,Wallis Orchard FEB PCSL 1 gun only RIFLE/PCC match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/05b91d1f-761b-4b51-8382-870fd4ae3403,Wallis Orchard Practical Shooters USPSA Jan 2025,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/d6129de2-3198-4730-86e1-682561d43930,Wallis Orchard PCSL 1 gun only RIFLE/PCC match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/06aa6f6e-5882-4999-b982-4d36451dc710,Wallis Orchard Practical Shooters PCSL DEC Sunday Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/b9d9154b-f345-43d5-99a4-891061830087,Wallis Orchard Saturday Hit Factor,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/13d58e74-ce0a-45b5-a7b4-624a53da467e,Wallis Orchard Practical Shooters Nov Clone HF NOV Sunday Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/fcca7735-d9ec-4764-a3d7-c632762a8556,Wallis Orchard Practical Shooters Nov Clone HF NOV Saturday Match (clone),Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/a439c6d7-dccc-4d96-85df-c5c93618b6df,Wallis Orchard Practical Shooters HF Oct PCSL,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/49a45695-3345-4e50-981e-02060a9b84d5,Wallis Orchard Practical Shooters HF Oct Saturday Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/29429e87-ee3a-43a0-a7c6-09f8f348f4ce,Wallis Orchard Practical Shooters PCSL Sep Sunday Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/216a5663-ef6a-4bff-ba83-55174eb33cfe,Wallis Orchard Practical Shooters HF Sep Saturday Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/d0d90696-4d2b-4dce-b1bd-a65a543f1967,Wallis Orchard Practical Shooters PCSL Aug,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/28399652-3561-4a2b-a45d-924814b8d3ef,Wallis Orchard Practical Shooters July,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/3054402e-b597-4773-96fb-04a672f90a65,Wallis Orchard Practical Shooters May 2024 ALL CLASSIFIER,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/1b705d52-36a3-406d-a4de-f925fbe7c4e5,Wallis Orchard Practical Shooters April 2024,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/a84094a4-b9ce-4371-bf59-b2c89249e73e,Wallis Orchard Practical Shooters February 2024,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/e6b799a5-2b66-4d7e-80b8-a6db078cf11c,Wallis Orchard Practical Shooters March 2024,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/bd099c01-06c9-49de-bd54-762017ed35b2,Wallis Orchard Practical Shooters January 2024,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/80e8df22-03e2-4ba6-be0e-af5dd6de072e,Wallis Orchard Practical Shooters December USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/8898a848-b50f-4a95-a556-2e4d205be0ef,Wallis Orchard Practical Shooters Nov match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/070a7325-1191-4015-85d0-a75e38d3422f,Wallis Orchard Practical Shooters Sep USPSA Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/48770d02-25e9-4b1d-af53-cfe80f9ba77e,Wallis Orchard Practical Shooters August 2023 All Classifier Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/d64ca961-2aa7-4df1-84f4-c257cf934ef3,Wallis Orchard Practical Shooters Jun 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/617a9c1a-08a0-4ffc-b410-323236f55e42,Wallis Orchard Practical Shooters MAY 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/b91bbb91-d813-4d9b-ac62-57cb0ffca3c7,Wallis Orchard Practical Shooters April 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/81b983bc-a8eb-4c34-9c86-605c6acc0f3d,Wallis Orchard Practical Shooters Mar 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/b9605bed-5101-44ac-8537-fb5ac61967aa,Wallis Orchard Practical Shooters Feb 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/c06ae5a3-7443-4764-9bd7-f35849f4cdfc,Wallis Orchard Practical Shooters Jan 2023,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/1e080ed9-e94e-465a-b656-0009f30f2af3,Wallis Orchard Practical Shooters DEC 18,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/6b0785d7-9ff4-4acf-a765-0d41a11c1c38,Wallis Orchard Practical Shooters NOV20- Hammer down 0900,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/e9d6ffd7-89e7-4142-9f35-c15178d01663,Wallis Orchard Practical Shooters OCT 16 815 AM Shooters Meeting,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/a0e5c985-11ed-4e9a-bc0b-184fb2b2874d,Wallis Orchard Practical Shooters SEP 2022 ---8AM Shooters Meeting,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/1f62d6bc-608b-4134-8386-99d98fdabe5a,Wallis Orchard Practical Shooters AUG 2022 ---8AM Shooters Meeting---,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/1452d7ca-f0da-423f-80ee-329bd64d8a4b,Wallis Orchard Practical Shooters July 2022 ---8AM Shooters Meeting---,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/16536875-f516-41f6-8e37-a92cd19a93e9,Wallis Orchard Practical Shooters June 2022,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/4abec8f6-9b08-42bb-9488-f1f0237bf413,Wallis Orchard Practical Shooters Mar 2022,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/5637965f-c74c-4409-ae78-400bcaa2796c,Wallis Orchard Practical Shooters Feb 2022,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/e434a36b-118f-4861-a302-4162848dfeaf,Wallis Orchard Practical Shooters Jan 2022,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/68a0e9c6-7935-4aea-819a-0ae476fb8c76,Wallis Orchard Practical Shooters Dec Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/f3237b71-5fc4-427a-9523-ece0d1d55b8a,Wallis Orchard Practical Shooters Oct Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/7c3a4580-d080-4e80-89ff-fdb8d2e2cbb3,Wallis Orchard Practical Shooters August 2021 All Classifier Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/3d03f055-584c-45d5-9f93-d142e2d72529,Wallis Orchard Practical Shooters July 2021 Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/9ba96b29-7aff-47a1-8028-0ce1b995d714,Wallis Orchard Practical Shooters June 2021 Fathers Day Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/062a54d0-fc99-4e71-a90a-f27126f8cea9,Wallis Orchard Practical Shooters May 2021 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/d42c118d-75ef-4f41-8a3e-6b9aba6b389e,Wallis Orchard Practical Shooters April 2021 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis - Orchard Gun Range,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/affeb201-d9af-469a-aab9-91b897c55f84,"Wallis Orchard Practical Shooters USPSA March 21, 2021",Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/8ddb6974-6cd9-47a3-bffb-90102240325e,GPS February 2021 at Wallis - Orchard Gun Range,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/6f0f766f-680e-4582-8dda-7e2ed0bcb023,Wallis Orchard Practical Shooters January 2021 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/17960905-6e7b-4339-a565-c9350b00b0a1,Wallis Orchard Practical Shooters November 2020 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/01fc62dd-320d-41aa-bea0-c8bbb0134f21,Wallis Orchard Practical Shooters October 2020 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/69e78ceb-b3b3-4e88-bdbd-aea9960fcc04,Wallis Orchard Practical Shooters September 2020 Jon Marino Charity Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/069b0278-5343-4ec9-a644-7852ced464d1,Wallis Orchard Practical Shooters August 2020 All Classifier Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/14a28b9e-938e-4a0d-a97f-50c8ffa19852,"Wallis Orchard Practical Shoters USPSA July 19, 2020",Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/5e60a0f9-2431-43b0-8259-0a56b1a1b78b,Wallis Orchard Practical Shooters June 2020 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/d45b3096-dcb1-414e-b1ff-133c683b59d3,"Wallis Orchard Practical Shooters USPSA May 17, 2020",Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/b732fcc6-178f-4873-9786-57fbcdbe0ad4,Wallis Orchard Practical Shooters USPSA March 2020 Club Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/5590bd8d-8193-48a0-83d7-5d462a61bdb7,Wallis Orchard Practical Shooters February 2020 Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/0d46199e-cbdd-4f56-a138-2600f322a49d,Wallis Orchard 28SEP19,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/19dbbc72-01a6-4aac-96ca-948e58c0fc97,"Wallis Orchard Thursday Match Aug 15, 2019",Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/78406bb7-6dfd-42ab-909c-dc48cfb208e4,"Wallis Orchard Aug 8, 2019",Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/b9979d98-be76-41a0-bd55-7b9070e719ab,"Wallis Orchard Aug 1, 2019",Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/38f57c9e-ae3e-4522-b3c9-da84f90b21a7,Wallis Orchard 18 JULY 2019,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/bfd98762-0470-45b7-ada1-36f476db47cf,Wallis Orchard 11 July 2019,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/92fbb747-29ec-4994-9163-005b46a03bdf,Wallis Orchard 13JUN19,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/f8354612-9660-4b92-ab94-c6ba2aa0a6ba,Wallis Orchard 30 May 19,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/caeadf26-8315-4db2-bb71-2d218872f371,Wallis Ochard Pactical Shooters January 2020 Match,Wallis Ochard Pactical Shooters
https://practiscore.com/results/all/7ddecb28-abeb-4cfd-a48c-e07909aef137,Wallis Orhard 27JUN19,Wallis Ochard Pactical Shooters
